,content,id,lat,location,lon,time,user,user_id
1,"RT @godsmack: Throwback Thurs with this Focus On: Godsmack playlist from @Vevo !
https://t.co/ZDOJL5ijXW",971899166095011841,,"Other, not MA",,2018-03-09 00:03:12,JUMPIN12A,776573526476283904
3,Like this one better ! https://t.co/8UhgUPfxDt,971899164165623809,,"Other, not MA",,2018-03-09 00:03:12,foreignluu,907721701429051392
7,“Me llega a pillar arrebatao le como el pelo” JAJAJAJAJJA https://t.co/lVqrmu0YB9,971899160655024128,,Boston,,2018-03-09 00:03:11,AlishaMedrano03,3585373093
8,@DomMcLennon wow i definitely pegged you as princess mononoke stan,971899160097185792,,Boston,,2018-03-09 00:03:11,sinemuh,338042854
9,@PaytonBarnwell @inspectorplanet @AstroBotKaitlyn @RobotMakerGirl @AlexandraOgilve @astrostarbright @astronaia… https://t.co/bWxv8qWbsX,971899159241527296,,Boston,,2018-03-09 00:03:11,Supernova_Style,787461596763258880
12,#Female #Music #Quiz #InternationalWomensDay #love #eggdrp https://t.co/pW5M6ZRwtd,971899154099130368,,Boston,,2018-03-09 00:03:10,PopCulture27,160719449
13,"Come to the @Canon Wishing Tree on the second floor and make a wish! You could win a class coupon, a free membershi… https://t.co/h2PbkvPfTI",971899153377824773,,Boston,,2018-03-09 00:03:09,BCAE,19289149
14,https://t.co/s3rBvxHECJ,971899151976865792,,Boston,,2018-03-09 00:03:09,DigitView,332885957
15,"Again, like Pruitt at #EPA, #Zinke is another cabinet member who thinks his agency, the Interior Department, is the… https://t.co/TEzOgJmVTk",971899151918292992,,Boston,,2018-03-09 00:03:09,John_Hitt,851447676
17,We are not one! Pt.1: https://t.co/fWyuqHvq4F via @YouTube,971899151091949569,,Boston,,2018-03-09 00:03:09,ThaBoss_Don,61215562
18,@nattcatttt Thank you and Im trying my best! &lt;3,971899150324387841,,Boston,,2018-03-09 00:03:09,GrittySugar,1723303590
21,"Work smarter, not harder, #REALTORS. Sign up for @Placester's Real Estate Marketing Academy Newsletter:… https://t.co/jTDiobIpNV",971899149590433792,,Boston,,2018-03-09 00:03:08,placester,74621063
