,content,id,lat,location,lon,time,user,user_id
0,"A lot of widowmakers out there after this storm, keep your heads up",971823910953062407,,NY,,2018-03-08 19:04:10,pritchard33,87849407
1,@TheCityofMalden Is there any kind of tracking or dashboard or w/e citizens can check to see when the plows might c… https://t.co/3jFq05gzFY,971823048516128768,,Boston,,2018-03-08 19:00:45,megglums,215382597
2,These should be the final snow totals for this storm for Boston and Worcester https://t.co/8j2uo9DPXe,971822888193024001,,Boston,,2018-03-08 19:00:06,TerryWBZ,48377323
3,@JosieGL LMFAO... he works for a truck company.. in a snow storm... I dont see him for days. Maybe GrubHub or DoorD… https://t.co/lFNpkmM67o,971822473355423745,,Boston,,2018-03-08 18:58:27,notthisgirrl,19312185
4,Life is Strange: Before the Storm review: The path to tragedy https://t.co/q9tHcruo4E,971822416098971648,,Boston,,2018-03-08 18:58:14,BradHines,33337749
7,@RunCoachAndy No storm. At least for now.,971821001309900800,,Boston,,2018-03-08 18:52:36,PeteNBCBoston,28098358
8,when you get down in the storm and your squad leaves you 😩 https://t.co/jLIK44D3V6,971820640788500481,,Boston,,2018-03-08 18:51:10,locflow,1023071251
9,We definitely have a different definition of “Gamer.” Lots of people watch Star Wars. Only a few dress as Storm Tro… https://t.co/RilqwvX6De,971820006362271744,,Boston,,2018-03-08 18:48:39,IAMMGraham,19550464
11,"RT @CambridgeLF: FYI: #CambMA has a Snow Center to keep the public informed of winter storm impacts!

Info: https://t.co/5IoJjA5Gjo #CambMA…",971819538525446146,,Cambridge,,2018-03-08 18:46:48,jkcosmos,27770296
13,Happy International Women's day! Read here about how the women of Boston Interactive are taking the world by storm!… https://t.co/qioWodfVgY,971819241543434240,,Boston,,2018-03-08 18:45:37,bstninteractive,20613586
14,Driving around after the storm and the amount of damage and downed trees makes it look like a small tornado whipped… https://t.co/Ucws1XJfJF,971818957324931072,,Boston,,2018-03-08 18:44:29,josephbduda,53566508
16,New England Snow Storm: https://t.co/Pj9OSIkK32 via @YouTube,971818607339503616,,Boston,,2018-03-08 18:43:06,stephay87,25644055
17,"FYI: #CambMA has a Snow Center to keep the public informed of winter storm impacts!

Info: https://t.co/5IoJjA5Gjo #CambMASNOW",971818177255690241,,Cambridge,,2018-03-08 18:41:23,CambridgeLF,176586988
18,"@nestsupport -we've had a nasty storm here in New England. We've lost power and so, our Nest thermostat has drained… https://t.co/uIZrp5fvVH",971818108355842048,,Boston,,2018-03-08 18:41:07,spvallas,261737285
20,"Combine 2 nor’easters, another *potential* storm on the way, and a Sunday move I have barely even started packing u… https://t.co/ZhLGpJesbk",971817126586667013,,Boston,,2018-03-08 18:37:13,KThompson_WCVB,168883654
23,"RT @timrgeorge: @JetBlue Can't tell if my flight is cancelled or not - email says yes, but 'Manage Flights' section on your website does no…",971816794590793728,,NYC↔#LongIsland-Atlantic~~,,2018-03-08 18:35:53,LIVE_COVERAGE,44299861
24,I added a video to a @YouTube playlist https://t.co/kOifgLYR4n WINTER SNOW STORM SOUND - Blizzard Wind Sound For Relaxation And Sleep,971816737170755584,,Boston,,2018-03-08 18:35:40,thedinz,492634981
25,"The bearded wizard of Malden strikes again 

If you need any help with snow removal of anything storm related.... https://t.co/6jP9QcB46S",971816393405591553,,NY,,2018-03-08 18:34:18,Isawyourvideoma,161580047
26,"RT @boston25: EXTENDED live storm coverage.

Right now on @boston25 Morning News.

#Boston #Andover #Plymouth #Worcester https://t.co/dlwtg…",971816380550078464,,NY,,2018-03-08 18:34:15,conlin_mciver,954673858480664576
30,Score!   :))) Been dying to try these -- finally back in stock after last weekend's storm.… https://t.co/iUXyAQ1u4d,971815137492570113,,Boston,,2018-03-08 18:29:18,klicense,24721628
35,"Clemson fans were wishing for this matchup. They are looking ahead and looking past. Well we are still here, on day… https://t.co/SMz2dbBroY",971813998567084033,,"Other, not MA or NY",,2018-03-08 18:24:47,BookofBC,384442886
37,Keep your shovels ready: There could be another snowstorm headed our way early next week. https://t.co/STdEyx95Uo https://t.co/efd4VkptX6,971813652989923328,,Boston,,2018-03-08 18:23:24,BostonGlobe,95431448
